Model,MAE,RMSE,R2
LightGBM,4.5889785146776205,23.147798864863645,0.6674510037782981
Tuned LightGBM,5.214097715324755,25.580234715549665,0.5938884965870108
XGBoost,4.848800269159322,27.199974319352947,0.5408302922173519
Random Forest,5.006467014840183,28.919106918573345,0.4809538249047064
Tuned XGBoost,4.930757807835869,29.031795947882888,0.4769008110742964
Linear Regression,5.911833920143415,29.89801738116143,0.44521971255490067
